,Name,Society,Award,Year,Location,Data Source,Gender,pred_gender
20,Robert D. Moseley,Association of University Radiologists,Gold Medal Award,1980,,https://www.chicagotribune.com/news/ct-xpm-1987-03-13-8701200238-story.html,1,male
21,Sidney W. Nelson,Association of University Radiologists,Gold Medal Award,1980,,https://www.legacy.com/obituaries/dispatch/obituary.aspx?n=sidney-w-nelson&pid=18704013,1,unknown
22,Harry W. Fischer,Association of University Radiologists,Gold Medal Award,1981,,https://www.ajronline.org/doi/pdfplus/10.2214/ajr.172.4.10587161,1,male
23,Harvey Picker,Association of University Radiologists,Gold Medal Award,1981,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2413380/,1,unknown
24,Jean Picker,Association of University Radiologists,Gold Medal Award,1981,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2413380/,2,female
25,Elliott C. Lasser,Association of University Radiologists,Gold Medal Award,1981,,https://medschool.ucsd.edu/som/radiology/about/alumni/Pages/About-Dr.-Lasser.aspx,1,unknown
26,Harold G. Jacobson,Association of University Radiologists,Gold Medal Award,1982,,https://pubs.rsna.org/doi/10.1148/88.2.369,1,unknown
27,Alexander R. Margulis,Association of University Radiologists,Gold Medal Award,1982,,https://radiology.ucsf.edu/blog/alexander-r-margulis-md-1921-2018,1,male
28,Robert N. Cooley,Association of University Radiologists,Gold Medal Award,1983,,https://www.jacr.org/article/S1546-1440(09)00247-6/fulltext,1,male
29,Melvin M. Figley,Association of University Radiologists,Gold Medal Award,1983,,https://www.ajronline.org/doi/pdfplus/10.2214/AJR.10.5368,1,unknown
30,Herbert L. Abrams,Association of University Radiologists,Gold Medal Award,1984,,https://med.stanford.edu/radiology/news/2016/herbert-abrams-1920-2016.html,1,unknown
31,Richard H. Greenspan,Association of University Radiologists,Gold Medal Award,1985,,http://archives.news.yale.edu/v33.n4/story19.html,1,female
32,Byron G. Brogdon,Association of University Radiologists,Gold Medal Award,1985,,https://www.doximity.com/pub/byron-brogdon-md,1,unknown
33,Juan M. Taveras,Association of University Radiologists,Gold Medal Award,1985,,https://news.harvard.edu/gazette/story/2006/03/juan-manuel-taveras/,1,male
34,Harry Z. Mellins,Association of University Radiologists,Gold Medal Award,1986,,https://fa.hms.harvard.edu/files/memorialminute_mellins_harry_z.pdf,1,male
35,Lucy Frank Squire,Association of University Radiologists,Gold Medal Award,1986,,https://cfmedicine.nlm.nih.gov/physicians/biography_307.html,1,female
36,Henry H. Jones,Association of University Radiologists,Gold Medal Award,1987,,http://med.stanford.edu/news/all-news/2012/08/henry-h-jones-professor-emeritus-of-radiology-passes-away-at-95.html,1,male
37,Alexander Gottschalk,Association of University Radiologists,Gold Medal Award,1987,,https://www.ucsfhealth.org/providers/dr-alexander-gottschalk,1,male
38,M. Paul Capp,Association of University Radiologists,Gold Medal Award,1988,,https://medicine.arizona.edu/person/michael-p-capp-md,1,male
39,Eugene C. Klatte,Association of University Radiologists,Gold Medal Award,1989,,https://alliance.iu.edu/members/member/1106.html,1,unknown
40,Joseph E. Whitley,Association of University Radiologists,Gold Medal Award,1989,,https://www.washingtonpost.com/archive/local/1989/04/27/joseph-e-whitley-chairman-of-radiology-at-u-md-dies/89e0e5c7-f06e-4d3d-84b8-c6fdb097123a/,1,male
41,John A. Campbell,Association of University Radiologists,Gold Medal Award,1990,,https://www.med.unc.edu/radiology/directory/john-campbell/,1,male
42,John H. Juhl,Association of University Radiologists,Gold Medal Award,1990,,https://www.drjuhl.com/,1,male
43,John F. Holt,Association of University Radiologists,Gold Medal Award,1991,,https://medicine.umich.edu/dept/radiology/giving/professorships/john-f-holt-collegiate-professorship-radiology,1,male
44,Charles E. Putman,Association of University Radiologists,Gold Medal Award,1991,,https://radiology.duke.edu/research/clinical-research-unit/charles-e-putman-m-d-vision-award-guidelines/,1,male
45,Malcom D. Jones,Association of University Radiologists,Gold Medal Award,1992,,https://pubs.rsna.org/doi/abs/10.1148/radiology.220.3.r01se44832?journalCode=radiology,1,unknown
46,Melvyn H. Schreiber,Association of University Radiologists,Gold Medal Award,1993,,https://www.doximity.com/pub/melvyn-schreiber-md,1,unknown
47,Frederix N Silverman,Association of University Radiologists,Gold Medal Award,1993,,https://www.ajronline.org/doi/pdfplus/10.2214/ajr.151.4.761,1,unknown
48,John A kirkpatrick,Association of University Radiologists,Gold Medal Award,1994,,https://fa.hms.harvard.edu/files/hmsofa/files/memorialminute_kirkpatrick_john_a.pdf,1,male
49,Nancy O. Whitley,Association of University Radiologists,Gold Medal Award,1994,,https://www.baltimoresun.com/news/bs-xpm-1998-05-24-1998144067-story.html,2,female
50,David G. Bragg,Association of University Radiologists,Gold Medal Award,1995,,https://medicine.utah.edu/faculty/mddetail.php?facultyID=u0034680,1,male
51,George R. Leopold,Association of University Radiologists,Gold Medal Award,1995,,https://www.doximity.com/pub/george-leopold-md,1,male
52,Ronald G. Evens,Association of University Radiologists,Gold Medal Award,1996,,https://medicine.wustl.edu/news/about/faculty-recognition/alumni-association-awards/aa-2014/ronald-g-evens-md/,1,male
53,Thomas S. Harle,Association of University Radiologists,Gold Medal Award,1996,,https://www.doximity.com/pub/thomas-harle-md,1,male
54,C. Douglas Maynard,Association of University Radiologists,Gold Medal Award,1997,,https://pubs.rsna.org/doi/abs/10.1148/radiology.214.1.r00ja505?journalCode=radiology,1,male
55,James E. Youker,Association of University Radiologists,Gold Medal Award,1997,,https://www.mcw.edu/find-a-doctor/youker-james-e-md,1,male
56,B. Leonard Holman,Association of University Radiologists,Gold Medal Award,1998,,https://www.brighamandwomens.org/radiology/education-and-training/holman-archives,1,male
57,James H. Scatliff,Association of University Radiologists,Gold Medal Award,1998,,https://www.med.unc.edu/radiology/our-people/leadership/department-overview/in-memory/remembering-dr-jim-scatliff/,1,male
58,Jerome H. Arndt,Association of University Radiologists,Gold Medal Award,1999,,https://www.apdr.org/apcr/general-information/history-and-archives/tribute-to-jerome-arndt,1,unknown
59,Robert W. Holden,Association of University Radiologists,Gold Medal Award,1999,,https://archives.iupui.edu/handle/2450/12033,1,male
60,Arvin E. Robinson,Association of University Radiologists,Gold Medal Award,2000,,https://www.urmc.rochester.edu/imaging/about-us/faculty-alumni-of-note/arvin-robinson.aspx,1,unknown
61,Lee F. Rogers,Association of University Radiologists,Gold Medal Award,2000,,https://www.arrs.org/ARRSLIVE/RogersFellowship,1,male
62,Edmund A. Franken,Association of University Radiologists,Gold Medal Award,2001,,https://medicine.uiowa.edu/radiology/content/franken-professor-pediatric-radiology,1,unknown
63,William M. Thompson,Association of University Radiologists,Gold Medal Award,2001,,https://hsc.unm.edu/directory/thompson-william.html,1,male
64,John R. Thornbury,Association of University Radiologists,Gold Medal Award,2002,,http://faculty-history.dc.umich.edu/faculty/john-r-thornbury,1,male
65,Albert A Moss,Association of University Radiologists,Gold Medal Award,2002,,https://www.doximity.com/pub/albert-moss-md,1,male
66,Stanley Baum,Association of University Radiologists,Gold Medal Award,2003,,https://www.med.upenn.edu/endowedprofessorships/stanley-baum-professorship-of-radiology.html,1,unknown
67,A. Everette James Jr. ,Association of University Radiologists,Gold Medal Award,2003,,https://www.ajronline.org/doi/pdfplus/10.2214/AJR.17.19331,1,unknown
68,Steven E. Seltzer ,Association of University Radiologists,Gold Medal Award,2004,,https://www.dfhcc.harvard.edu/insider/member-detail/member/steven-e-seltzer-md/,1,unknown
69,Philip O. Alderson,Association of University Radiologists,Gold Medal Award,2005,,https://health.usnews.com/doctors/philip-alderson-409220,1,unknown
70,Bruce J. Hillman,Association of University Radiologists,Gold Medal Award,2005,,https://med.virginia.edu/radiology-research/bruce-hillman-md/,1,unknown
71,Wilbur L. Smith,Association of University Radiologists,Gold Medal Award,2006,,https://health.usnews.com/doctors/wilbur-smith-493463,1,unknown
72,Kay H. Vydareny,Association of University Radiologists,Gold Medal Award,2006,,https://med.emory.edu/departments/radiology/about-us/our-history/emeritus/kay-vydareny.html,2,male
73,Hedvig Kricak,Association of University Radiologists,Gold Medal Award,2007,,https://www.mskcc.org/cancer-care/doctors/hedvig-hricak,2,unknown
74,Robert F. Mattrey,Association of University Radiologists,Gold Medal Award,2007,,https://utswmed.org/doctors/robert-mattrey/,1,male
75,Laurie L. Fajardo,Association of University Radiologists,Gold Medal Award,2008,,https://healthcare.utah.edu/fad/mddetail.php?physicianID=u6003954&name=laurie-l-fajardo,2,unknown
76,David C Levin,Association of University Radiologists,Gold Medal Award,2008,,https://www.academicradiology.org/article/S1076-6332(20)30088-X/fulltext,1,male
77,Ella A Kazerooni,Association of University Radiologists,Gold Medal Award,2009,,https://medicine.umich.edu/dept/radiology/ella-kazerooni-md-ms,2,female
78,Daniel C. Sullivan,Association of University Radiologists,Gold Medal Award,2009,,https://radiology.duke.edu/faculty/member/daniel-c-sullivan/,1,unknown
79,Etta D. Pisano,Association of University Radiologists,Gold Medal Award,2010,,https://www.google.com/search?q=Etta+D.+Pisano&rlz=1C5CHFA_enCA784CA784&oq=Etta+D.+Pisano&aqs=chrome..69i57j0i22i30.280j0j4&sourceid=chrome&ie=UTF-8,1,female
80,James H. Thrall,Association of University Radiologists,Gold Medal Award,2010,,https://www.massgeneral.org/doctors/16374/james-thrall,1,male
81,G. Scott Gazelle,Association of University Radiologists,Gold Medal Award,2011,,https://www.mgh-ita.org/G.-Scott-Gazelle.html,1,unknown
82,Gary M. Glazer,Association of University Radiologists,Gold Medal Award,2011,,https://pubs.rsna.org/doi/full/10.1148/radiol.12124009,1,unknown
83,N. Reed Dunnick,Association of University Radiologists,Gold Medal Award,2012,,https://medicine.umich.edu/dept/radiology/n-reed-dunnick-md,1,male
84,Beverly P. Wood,Association of University Radiologists,Gold Medal Award,2012,,https://pressroom.usc.edu/beverly-p-wood/,2,unknown
85,Ronald L. Arenson,Association of University Radiologists,Gold Medal Award,2013,,https://radiology.ucsf.edu/people/ronald-arenson,1,male
86,Jannette Collins,Association of University Radiologists,Gold Medal Award,2014,,https://www.doximity.com/pub/jannette-collins-md,2,unknown
87,Vijay M. Rao,Association of University Radiologists,Gold Medal Award,2014,,https://hospitals.jefferson.edu/find-a-doctor/r/rao-vijay-m.html,2,male
88,Kimberley E. Applegate,Association of University Radiologists,Gold Medal Award,2015,,https://www.fda.gov/media/129462/download,2,unknown
89,Robert A. Novelline,Association of University Radiologists,Gold Medal Award,2015,,https://www.doximity.com/pub/robert-novelline-md,1,male
90,Ruth C. Carlos,Association of University Radiologists,Gold Medal Award,2016,,https://medicine.umich.edu/dept/radiology/ruth-carlos-md-ms-facr,2,unknown
91,John Eng,Association of University Radiologists,Gold Medal Award,2016,,http://www.rad.jhmi.edu/msk/eng.htm,1,male
92,William G. Bradley,Association of University Radiologists,Gold Medal Award,2017,,https://iem.ucsd.edu/researchers/people/profiles/william-g-bradley.html,1,male
93,Jocelyn D. Chertoff,Association of University Radiologists,Gold Medal Award,2017,,https://geiselmed.dartmouth.edu/deansoffice/boa/chertoff/,2,unknown
94,Felix S. Chew,Association of University Radiologists,Gold Medal Award,2018,,https://rad.washington.edu/radiology-personnel/fchew/,1,unknown
95,Carolyn C. Meltzer,Association of University Radiologists,Gold Medal Award,2018,,https://winshipcancer.emory.edu/bios/faculty/meltzer-carolyn-c.html,2,unknown
96,Valerie P. Jackson,Association of University Radiologists,Gold Medal Award,2019,,https://www.rsna.org/about/board-of-directors/valerie-p-Jackson-md,2,unknown
97,Jonathan S. Lewin,Association of University Radiologists,Gold Medal Award,2019,,http://whsc.emory.edu/about/leadership/bios/lewin-jonathan.html,1,unknown
98,Richard B. Gunderman,Association of University Radiologists,Gold Medal Award,2020,,https://medicine.iu.edu/faculty/6855/gunderman-richard,1,female
99,Jeffrey G. Jarvik,Association of University Radiologists,Gold Medal Award,2020,,https://www.uwmedicine.org/bios/jeffrey-jarvik,1,unknown
100,Peter S. Liu (Michigan),Association of University Radiologists,A3CR2 Outstanding Teacher Award,2011,,https://my.clevelandclinic.org/staff/20250-peter-liu,1,male
101,Stefan Tigges (Emory),Association of University Radiologists,A3CR2 Outstanding Teacher Award,2012,,https://winshipcancer.emory.edu/bios/faculty/tigges-stefan.html,1,unknown
102,Carl R. Fuhrman (Pittsburgh),Association of University Radiologists,A3CR2 Outstanding Teacher Award,2013,,https://health.usnews.com/doctors/carl-fuhrman-3719,1,unknown
103,Pedro J. Diaz-Marchan (Baylor),Association of University Radiologists,A3CR2 Outstanding Teacher Award,2014,,https://www.bcm.edu/people-search/pedro-diaz-marchan-20473,1,female
104,Judith K. Amorosa (Rutgers),Association of University Radiologists,A3CR2 Outstanding Teacher Award,2015,,https://www.emedevents.com/speaker-profile/judith-k-amorosa,2,female
105,M. Craig Morriss (Children's),Association of University Radiologists,A3CR2 Outstanding Teacher Award,2016,,https://www.childrens.com/doctor-profile/michael-craig-morriss,1,unknown
106,Mark E. Mullins (Emory),Association of University Radiologists,A3CR2 Outstanding Teacher Award,2017,,https://winshipcancer.emory.edu/bios/faculty/mullins-mark-e.html,1,male
107,Alberto A. Simoncini (Louisiana),Association of University Radiologists,A3CR2 Outstanding Teacher Award,2018,,https://www.ochsnerlsuhs.org/doctors/alberto-simoncini,1,unknown
108,Suyash Mohan (Pennsylvania),Association of University Radiologists,A3CR2 Outstanding Teacher Award,2019,,https://www.pennmedicine.org/providers/profile/suyash-mohan,1,unknown
109,Omer A. Awan,Association of University Radiologists,A3CR2 Outstanding Teacher Award,2020,,https://www.medschool.umaryland.edu/profiles/Awan-Omer/,1,male
110,Eric J. Stern,Association of University Radiologists,ACER Achievement Award,2011,,https://pediatrics.georgetown.edu/stern/,1,male
111,Jocelyn D Chertoff,Association of University Radiologists,ACER Achievement Award,2012,,https://geiselmed.dartmouth.edu/deansoffice/boa/chertoff/,2,unknown
112,Jannette Collins,Association of University Radiologists,ACER Achievement Award,2013,,https://www.aur.org/uploadedFiles/Archives/2014_Gold_Medal_Winners.pdf,2,unknown
113,Petra J. Lewis,Association of University Radiologists,ACER Achievement Award,2014,,https://geiselmed.dartmouth.edu/faculty/facultydb/view/?uid=1214,2,female
114,Gautham P. Reddy,Association of University Radiologists,ACER Achievement Award,2015,,https://www.uwmedicine.org/bios/gautham-reddy,1,unknown
115,Angelisa M Paladin,Association of University Radiologists,ACER Achievement Award,2016,,https://rad.washington.edu/radiology-personnel/apaladin/,2,unknown
116,Mahesh M Thapa,Association of University Radiologists,ACER Achievement Award,2017,,https://www.uwmedicine.org/bios/mahesh-thapa,1,male
117,Mark E. Mullins,Association of University Radiologists,ACER Achievement Award,2018,,https://winshipcancer.emory.edu/bios/faculty/mullins-mark-e.html,1,male
118,Aine M. Kelly,Association of University Radiologists,ACER Achievement Award,2019,,https://www.linkedin.com/in/aine-kelly-631076105,2,male
119,Priscilla J. Slanetz,Association of University Radiologists,ACER Achievement Award,2020,,https://www.linkedin.com/in/priscilla-j-slanetz-16878018,2,unknown
120,Robert A. Novelline,Association of University Radiologists,AMSER Excellence in Education Award:,2012,,https://www.linkedin.com/in/robert-novelline-a3902732,1,male
121,Petra J. Lewis,Association of University Radiologists,AMSER Excellence in Education Award:,2013,,https://geiselmed.dartmouth.edu/faculty/facultydb/view/?uid=1214,2,female
122,Christopher M. Straus,Association of University Radiologists,AMSER Excellence in Education Award:,2014,,https://radiology.uchicago.edu/faculty/christopher-m-straus-md,1,unknown
123,William Herring,Association of University Radiologists,AMSER Excellence in Education Award:,2015,,http://www.learningradiology.com/misc/whpage.htm,1,male
124,Judith K Amorosa,Association of University Radiologists,AMSER Excellence in Education Award:,2016,,https://www.emedevents.com/speaker-profile/judith-k-amorosa,2,female
125,Kitt Shaffer,Association of University Radiologists,AMSER Excellence in Education Award:,2016,,https://www.bumc.bu.edu/busm/profile/kitt-shaffer/,2,unknown
126,Nancy J. McNulty,Association of University Radiologists,AMSER Excellence in Education Award:,2017,,https://geiselmed.dartmouth.edu/faculty/facultydb/view.php/?uid=2886,2,female
127,Sravanthi Reddy,Association of University Radiologists,AMSER Excellence in Education Award:,2018,,https://keck.usc.edu/faculty-search/sravanthi-reddy/,2,unknown
128,Donna Magid,Association of University Radiologists,AMSER Excellence in Education Award:,2019,,https://www.hopkinsmedicine.org/profiles/details/donna-magid,2,unknown
129,Stefan Tigges,Association of University Radiologists,AMSER Excellence in Education Award:,2020,,https://winshipcancer.emory.edu/bios/faculty/tigges-stefan.html,1,unknown
130,Bruce J. Hillman,Association of University Radiologists,RAHSR Achievement Award,2014,,https://www.jewishbookcouncil.org/bruce-j-hillman,1,unknown
131,Jeffrey G. Jarvik,Association of University Radiologists,RAHSR Achievement Award,2015,,https://www.uwmedicine.org/bios/jeffrey-jarvik,1,unknown
132,G. Scott Gazelle,Association of University Radiologists,RAHSR Achievement Award,2016,,https://www.mgh-ita.org/G.-Scott-Gazelle.html,1,unknown
133,Curtis P Langlotz,Association of University Radiologists,RAHSR Achievement Award,2017,,https://profiles.stanford.edu/curtis-langlotz,1,unknown
134,Ella A. Kazerooni,Association of University Radiologists,RAHSR Achievement Award,2018,,https://medicine.umich.edu/dept/radiology/ella-kazerooni-md-ms,2,female
135,M.G Myriam Hunink,Association of University Radiologists,RAHSR Achievement Award,2019,,https://www.hsph.harvard.edu/maria-hunink/,2,unknown
136,Ruth C. Carlos,Association of University Radiologists,RAHSR Achievement Award,2020,,https://medicine.umich.edu/dept/radiology/ruth-carlos-md-ms-facr,2,unknown
137,Heike E. Daldrup-Link,Association of University Radiologists,RRA New Investigator Award,2006,,https://profiles.stanford.edu/heike-daldrup-link,2,unknown
138,Claude Sirlin,Association of University Radiologists,RRA New Investigator Award,2007,,https://providers.ucsd.edu/details/11951/radiology-cancer,1,unknown
139,Miriam A. Bredella,Association of University Radiologists,RRA New Investigator Award,2009,,https://www.massgeneral.org/doctors/17564/miriam-bredella,2,unknown
140,Rathan Subramaniam,Association of University Radiologists,RRA New Investigator Award,2010,,https://medicaldeans.org.au/member/professor-rathan-subramaniam/,1,unknown
141,Srini Tridandapani ,Association of University Radiologists,RRA New Investigator Award,2011,,https://www.uab.edu/medicine/radiology/patient-care/radiology-informatics?id=803:srini-tridandapani,1,female
142,Gary D Luker,Association of University Radiologists,RRA New Investigator Award,2013,,https://medicine.umich.edu/dept/radiology/gary-luker-md,1,unknown
143,David M Schuster,Association of University Radiologists,RRA New Investigator Award,2014,,https://winshipcancer.emory.edu/bios/faculty/schuster-david-m.html,1,male
144,Vikas Gulani,Association of University Radiologists,RRA New Investigator Award,2015,,https://medicine.umich.edu/dept/radiology/vikas-gulani-md-phd,1,unknown
145,Andrew B Rosenkrantz,Association of University Radiologists,RRA New Investigator Award,2016,,https://nyulangone.org/doctors/1295868610/andrew-b-rosenkrantz,1,unknown
146,Christoph I. Lee,Association of University Radiologists,RRA New Investigator Award,2017,,https://rad.washington.edu/radiology-personnel/stophlee/,1,unknown
147,Lars J Grimm,Association of University Radiologists,RRA New Investigator Award,2018,,https://radiology.duke.edu/faculty/member/lars-j-grimm/,1,male
148,Erik H. Middlebrooks,Association of University Radiologists,RRA New Investigator Award,2019,,https://www.mayo.edu/research/faculty/middlebrooks-erik-h-m-d/bio-20460457,1,male
149,Ramon F Barajas,Association of University Radiologists,RRA New Investigator Award,2020,,https://www.ohsu.edu/providers/ramon-barajas-md,1,male
150,N. Reed Dunnick,Association of University Radiologists,RRA Innovation and Leadership Award:,2013,,https://medicine.umich.edu/dept/radiology/n-reed-dunnick-md,1,male
151,Donald P Harrington,Association of University Radiologists,RRA Innovation and Leadership Award:,2014,,https://www.caredash.com/doctors/donald-harrington-h52zz,1,unknown
152,Robert F Mattrey,Association of University Radiologists,RRA Innovation and Leadership Award:,2015,,https://utswmed.org/doctors/robert-mattrey/,1,male
153,Ronald L Arenson,Association of University Radiologists,RRA Innovation and Leadership Award:,2016,,https://radiology.ucsf.edu/people/ronald-arenson,1,male
154,Jonathan S Lewin,Association of University Radiologists,RRA Innovation and Leadership Award:,2017,,http://whsc.emory.edu/about/leadership/bios/lewin-jonathan.html,1,unknown
155,King C Li,Association of University Radiologists,RRA Innovation and Leadership Award:,2018,,https://experts.illinois.edu/en/persons/king-c-li,1,male
156,Rathan M Subramaniam,Association of University Radiologists,RRA Innovation and Leadership Award:,2019,,https://www.emedevents.com/speaker-profile/rathan-m-subramaniam,1,unknown
157,Carolyn C Meltzer,Association of University Radiologists,RRA Innovation and Leadership Award:,2020,,https://winshipcancer.emory.edu/bios/faculty/meltzer-carolyn-c.html,2,unknown
158,Jerome H. Arndt,Association of Program Directors in Radiology,APDR Achievement Award,1997,,https://www.apdr.org/apcr/general-information/history-and-archives/tribute-to-jerome-arndt,1,unknown
159,David S. Hartman,Association of Program Directors in Radiology,APDR Achievement Award,1999,,https://www.doximity.com/pub/david-hartman-md-a981,1,male
160,Spencer B. Gay,Association of Program Directors in Radiology,APDR Achievement Award,2000,,https://uvahealth.com/findadoctor/profile/spencer-b-gay,1,unknown
161,William M. Thompson,Association of Program Directors in Radiology,APDR Achievement Award,2001,,https://hsc.unm.edu/directory/thompson-william.html,1,male
162,Michael B. Love,Association of Program Directors in Radiology,APDR Achievement Award,2002,,https://www.doximity.com/pub/michael-love-md-df44,1,male
163,Charles S. Resnik,Association of Program Directors in Radiology,APDR Achievement Award,2003,,https://www.medschool.umaryland.edu/profiles/Resnik-Charles/,1,male
164,Jannette Collins,Association of Program Directors in Radiology,APDR Achievement Award,2004,,https://www.aur.org/uploadedFiles/Archives/2014_Gold_Medal_Winners.pdf,2,unknown
165,Robert A Novelline,Association of Program Directors in Radiology,APDR Achievement Award,2004,,https://www.linkedin.com/in/robert-novelline-a3902732,1,male
166,Vijay M Rao,Association of Program Directors in Radiology,APDR Achievement Award,2006,,https://hospitals.jefferson.edu/find-a-doctor/r/rao-vijay-m.html,2,male
167,Janet L. Strife,Association of Program Directors in Radiology,APDR Achievement Award,2007,,https://www.doximity.com/pub/janet-strife-md,2,unknown
168,Philip O Alderson,Association of Program Directors in Radiology,APDR Achievement Award,2008,,https://health.usnews.com/doctors/philip-alderson-409220,1,unknown
169,Murray L Janower,Association of Program Directors in Radiology,APDR Achievement Award,2009,,https://www.doximity.com/pub/murray-janower-md,1,unknown
170,Jay A Harolds,Association of Program Directors in Radiology,APDR Achievement Award,2010,,https://health.usnews.com/doctors/jay-harolds-123874,1,male
171,Lee B Talner,Association of Program Directors in Radiology,APDR Achievement Award,2010,,https://www.doximity.com/pub/lee-talner-md-abc7,1,male
172,William Herring,Association of Program Directors in Radiology,APDR Achievement Award,2011,,http://www.learningradiology.com/misc/whpage.htm,1,male
173,Duane G Mezwa,Association of Program Directors in Radiology,APDR Achievement Award,2012,,https://health.usnews.com/doctors/duane-mezwa-27507,1,unknown
174,Michael J. Shortsleeve,Association of Program Directors in Radiology,APDR Achievement Award,2013,,https://www.mountauburnhospital.org/find-a-provider/profile/michael-shortsleeve/,1,male
175,Lawrence P Davis,Association of Program Directors in Radiology,APDR Achievement Award,2014,,https://www.harvey-engelhardt.com/tributes/Lawrence-Davis,1,unknown
176,Valerie P Jackson,Association of Program Directors in Radiology,APDR Achievement Award,2015,,https://www.rsna.org/about/board-of-directors/valerie-p-Jackson-md,2,unknown
177,Kay H. Vydareny,Association of Program Directors in Radiology,APDR Achievement Award,2015,,https://med.emory.edu/departments/radiology/about-us/our-history/emeritus/kay-vydareny.html,2,male
178,Martha B Mainiero,Association of Program Directors in Radiology,APDR Achievement Award,2016,,https://www.rimirad.com/about-rimi/rimi-radiologists/martha-b-mainiero-md-facr/,2,unknown
179,Theresa C McLoud,Association of Program Directors in Radiology,APDR Achievement Award,2016,,https://www.massgeneral.org/doctors/16558/theresa-mcloud,2,unknown
180,Jocelyn D. Chertoff,Association of Program Directors in Radiology,APDR Achievement Award,2017,,https://geiselmed.dartmouth.edu/deansoffice/boa/chertoff/,2,unknown
181,Petra J Lewis,Association of Program Directors in Radiology,APDR Achievement Award,2017,,https://geiselmed.dartmouth.edu/faculty/facultydb/view/?uid=1214,2,female
182,J. Mark McKinney,Association of Program Directors in Radiology,APDR Achievement Award,2018,,https://www.mayoclinic.org/biographies/mckinney-j-mark-j-mark-m-d/bio-20118326,1,male
183,Janet E Bailey,Association of Program Directors in Radiology,APDR Achievement Award,2019,,https://medicine.umich.edu/dept/radiology/janet-bailey-md-facr,2,unknown
184,Mark R Robbin,Association of Program Directors in Radiology,APDR Achievement Award,2019,,https://www.academicradiology.org/article/S1076-6332(17)30128-9/pdf,1,male
185,Kristen K DeStitger,Association of Program Directors in Radiology,APDR Achievement Award,2020,,https://www.uvmhealth.org/medcenter/provider/kristen-k-destigter-md,2,unknown
